E- (meV)	LETLET77597_1.05meV_rings_0.35A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.35A-1	E- (meV)	LETLET77597_1.05meV_rings_0.45A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.45A-1	E- (meV)	LETLET77597_1.05meV_rings_0.55A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.55A-1	E- (meV)	LETLET77597_1.05meV_rings_0.6499999999999999A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.6499999999999999A-1	E- (meV)	LETLET77597_1.05meV_rings_0.75A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.75A-1	E- (meV)	LETLET77597_1.05meV_rings_0.8499999999999999A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.8499999999999999A-1	E- (meV)	LETLET77597_1.05meV_rings_0.95A-1	E+ (meV)	LETLET77597_1.05meV_rings_0.95A-1	E- (meV)	LETLET77597_1.05meV_rings_1.0499999999999998A-1	E+ (meV)	LETLET77597_1.05meV_rings_1.0499999999999998A-1	E- (meV)	LETLET77597_1.05meV_rings_1.15A-1	E+ (meV)	LETLET77597_1.05meV_rings_1.15A-1	E- (meV)	LETLET77597_1.05meV_rings_1.25A-1	E+ (meV)	LETLET77597_1.05meV_rings_1.25A-1
0.0009472356436	0.42862536113462074	0.00405953024	1.4068874839411019	0.0009472356436	0.40950126631880024	0.00405953024	1.3613633820311755	0.0009472356436	0.40397037075352366	0.00405953024	1.3993304412892622	0.0009472356436	0.405733302585953	0.00405953024	1.312382636317484	0.0009472356436	0.4009287655398782	0.00405953024	1.3880242790040032	0.0009472356436	0.3966281089468319	0.00405953024	1.4394370390522189	0.0009472356436	0.38333514170612865	0.00405953024	1.4652650956823774	0.0009472356436	0.3607774868838423	0.00405953024	1.4486624911526724	0.0009472356436	0.3442316734943255	0.00405953024	1.4174448294594237	0.0009472356436	0.3407692292302461	0.00405953024	1.4239902766334707
0.005954001527	2.495442122914594	0.009066296124	1.469747302356191	0.005954001527	2.402080990015145	0.009066296124	1.6119149775945991	0.005954001527	2.376877656898635	0.009066296124	1.72078725151965	0.005954001527	2.2144975189102296	0.009066296124	1.770550314554723	0.005954001527	2.2783146316315226	0.009066296124	1.7484329885052374	0.005954001527	2.143664793181103	0.009066296124	1.8807059480605435	0.005954001527	2.088725985915354	0.009066296124	2.180863513429438	0.005954001527	1.9298278997800353	0.009066296124	2.24323320089432	0.005954001527	1.9164442985640868	0.009066296124	2.3911533968526286	0.005954001527	1.761182169542555	0.009066296124	2.2810904637430114
0.01096076741	3.196341593919796	0.01407306201	0.6459270015398194	0.01096076741	2.948065762138789	0.01407306201	0.8111260081544358	0.01096076741	2.9431694454689312	0.01407306201	0.9155269917081192	0.01096076741	2.8378595190638096	0.01407306201	0.9152684684098208	0.01096076741	2.7830772276673805	0.01407306201	1.014828099477108	0.01096076741	2.7031418259804294	0.01407306201	1.1679450744385516	0.01096076741	2.6177902696374784	0.01407306201	1.5804183066144246	0.01096076741	2.4817443769423853	0.01407306201	1.9093922023999854	0.01096076741	2.4093403584482322	0.01407306201	2.2702196631938323	0.01096076741	2.2600463639019446	0.01407306201	2.339414434966995
0.01596753329	2.3478036536164884	0.01907982789	0.14422795988689466	0.01596753329	2.261721911763377	0.01907982789	0.2666744225458061	0.01596753329	2.353555284007733	0.01907982789	0.265618581563506	0.01596753329	2.392459904499264	0.01907982789	0.24004609911703628	0.01596753329	2.1051468639920388	0.01907982789	0.2939801940677024	0.01596753329	2.046283479362864	0.01907982789	0.4608553432161483	0.01596753329	1.983572561236895	0.01907982789	0.6353851922115068	0.01596753329	2.0603029335012653	0.01907982789	0.9315785906658068	0.01596753329	1.8705087036861725	0.01907982789	1.2017124532036676	0.01596753329	1.9621080604476426	0.01907982789	1.4565593596264022
0.02097429918	1.3643647309577627	0.02408659378	0.025398893182589553	0.02097429918	1.360132736488022	0.02408659378	0.08476161452183667	0.02097429918	1.4088389451503127	0.02408659378	0.0760796261258959	0.02097429918	1.2849978651624923	0.02408659378	0.05745900103875171	0.02097429918	1.2802140081846465	0.02408659378	0.06076594540255773	0.02097429918	1.1791055557088284	0.02408659378	0.0694366611708712	0.02097429918	1.1745830518043683	0.02408659378	0.15215461128697913	0.02097429918	1.285928647440246	0.02408659378	0.25751726707019956	0.02097429918	1.0340888047415537	0.02408659378	0.43720872026508345	0.02097429918	1.148316669039371	0.02408659378	0.5494829469286096
0.02598106506	0.6773949698450242	0.02909335966	0.01945393926345699	0.02598106506	0.6920594704707698	0.02909335966	0.02574192874136429	0.02598106506	0.6693336740592812	0.02909335966	0.017720153735596617	0.02598106506	0.6285394502653256	0.02909335966	0.041222082187513075	0.02598106506	0.6252687748349423	0.02909335966	0.007884995441317008	0.02598106506	0.5929286204106673	0.02909335966	0.021439477209934086	0.02598106506	0.5584576472758472	0.02909335966	0.02950086777963667	0.02598106506	0.6031963705494378	0.02909335966	0.054689645207514924	0.02598106506	0.5300151954265727	0.02909335966	0.06837287081943291	0.02598106506	0.5554251200278046	0.02909335966	0.11318626600838033
0.03098783095	0.30734793074056294	0.03410012554	-0.0046033484278256475	0.03098783095	0.28361649519737847	0.03410012554	0.007858738192307846	0.03098783095	0.22445789898392782	0.03410012554	0.01320573674119208	0.03098783095	0.3015045795511775	0.03410012554	0.007768642157743922	0.03098783095	0.2669649202064856	0.03410012554	0.003121315861885633	0.03098783095	0.24066045734716954	0.03410012554	0.004451209768180437	0.03098783095	0.2690262531985423	0.03410012554	0.008836294572500012	0.03098783095	0.26210841958229125	0.03410012554	0.017604089244380235	0.03098783095	0.21791101078095512	0.03410012554	0.03534410843061522	0.03098783095	0.21589256187909397	0.03410012554	0.05352129368972879
0.03599459683	0.07289420130992261	0.03910689143	-0.003803504261867591	0.03599459683	0.1048150210069448	0.03910689143	0.006197531401519275	0.03599459683	0.10663269992128295	0.03910689143	0.001726016515592182	0.03599459683	0.09675967820551341	0.03910689143	-0.002914607649463006	0.03599459683	0.06731124258556577	0.03910689143	0.0061452747549643055	0.03599459683	0.10552077214848464	0.03910689143	0.011482819807743381	0.03599459683	0.10012100481332646	0.03910689143	0.025757398287395636	0.03599459683	0.07696229478166253	0.03910689143	0.036537459291791356	0.03599459683	0.097886297994956	0.03910689143	0.030762553806538043	0.03599459683	0.09481258909152718	0.03910689143	0.015295775834853144
0.04100136271	0.023308690542592422	0.04411365731	0.022630810276465865	0.04100136271	0.03107767340923824	0.04411365731	0.008863848913508329	0.04100136271	0.022570191596192047	0.04411365731	0.012374177725560438	0.04100136271	0.025425664373331557	0.04411365731	0.012853402293843996	0.04100136271	0.024709491112937156	0.04411365731	0.010402451494438995	0.04100136271	0.04424693825912991	0.04411365731	0.01814463822676286	0.04100136271	0.010737407257544084	0.04411365731	0.009219706302006627	0.04100136271	0.03133407458289766	0.04411365731	0.006459075690289857	0.04100136271	0.004426369474296221	0.04411365731	0.031279590567434984	0.04100136271	0.026418293575364085	0.04411365731	0.02597653460974584
0.0460081286	0.017739869646275802	0.04912042319	0.006342092551325392	0.0460081286	0.012305488294353264	0.04912042319	0.009206559265722199	0.0460081286	0.0015312483027233072	0.04912042319	0.0013882320666869688	0.0460081286	0.005107490462080125	0.04912042319	0.012431626351701157	0.0460081286	0.010335384955601915	0.04912042319	0.016047447019769526	0.0460081286	-0.001533361777526736	0.04912042319	0.021186786217629365	0.0460081286	0.007592553755471011	0.04912042319	0.012314307991521698	0.0460081286	0.0029243640067290098	0.04912042319	0.016102510627998508	0.0460081286	0.014083881202503295	0.04912042319	0.02364675632383212	0.0460081286	0.0018535126658931163	0.04912042319	0.025607895086970808
